Running on 16-08-2020, 23:27
16-08-2020, 23:27 -- CHALET -- Current Price: 140.7 -- Crossover: 9&21 on 12-08-2020(135.3) -- Crossover: 9&55 on 12-08-2020(135.3)
16-08-2020, 23:27 -- KPRMILL -- Current Price: 537.15 -- Crossover: 9&21 on 11-08-2020(449.7) -- Crossover: 9&55 on 11-08-2020(449.7)
16-08-2020, 23:27 -- ADANIPORTS -- Current Price: 348.1 -- Crossover: 9&21 on 10-08-2020(331.3) -- Crossover: 9&55 on 10-08-2020(331.3)
16-08-2020, 23:27 -- TEXMOPIPES -- Current Price: 13.9 -- Crossover: 9&21 on 13-08-2020(14.1) -- Crossover: 9&55 on 12-08-2020(12.85)
16-08-2020, 23:27 -- NITCO -- Current Price: 22.1 -- Crossover: 9&21 on 12-08-2020(18.3) -- Crossover: 9&55 on 11-08-2020(16.65)
16-08-2020, 23:27 -- STARPAPER -- Current Price: 100.45 -- Crossover: 9&21 on 12-08-2020(100.9) -- Crossover: 9&55 on 12-08-2020(100.9)
16-08-2020, 23:27 -- KECL -- Current Price: 13.1 -- Crossover: 9&21 on 12-08-2020(12.0) -- Crossover: 9&55 on 11-08-2020(11.15)
16-08-2020, 23:27 -- MANAKSIA -- Current Price: 35.5 -- Crossover: 9&21 on 12-08-2020(34.25) -- Crossover: 9&55 on 12-08-2020(34.25)
16-08-2020, 23:27 -- NAHARSPING -- Current Price: 38.4 -- Crossover: 9&21 on 11-08-2020(33.9) -- Crossover: 9&55 on 12-08-2020(35.6)
16-08-2020, 23:27 -- SANCO -- Current Price: 11.05 -- Crossover: 9&21 on 10-08-2020(9.3) -- Crossover: 9&55 on 12-08-2020(11.2)
16-08-2020, 23:27 -- DIAMONDYD -- Current Price: 563.9 -- Crossover: 9&21 on 10-08-2020(567.9) -- Crossover: 9&55 on 10-08-2020(567.9)
16-08-2020, 23:27 -- ADVANIHOTR -- Current Price: 45.5 -- Crossover: 9&21 on 11-08-2020(43.15) -- Crossover: 9&55 on 12-08-2020(44.2)
16-08-2020, 23:27 -- DLF -- Current Price: 142.45 -- Crossover: 9&21 on 10-08-2020(148.65) -- Crossover: 9&55 on 11-08-2020(146.55)
16-08-2020, 23:27 -- KOTHARIPRO -- Current Price: 62.85 -- Crossover: 9&21 on 12-08-2020(62.5) -- Crossover: 9&55 on 10-08-2020(60.8), 11-08-2020(60.1)
16-08-2020, 23:27 -- GSPL -- Current Price: 211.0 -- Crossover: 9&21 on 11-08-2020(216.65) -- Crossover: 9&55 on 11-08-2020(216.65)
16-08-2020, 23:27 -- SMARTLINK -- Current Price: 68.35 -- Crossover: 9&21 on 12-08-2020(71.65) -- Crossover: 9&55 on 12-08-2020(71.65)
