"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ACC","EQ","23-Jun-2020","       1263.45","       1268.10","       1306.70","       1263.05","       1302.90","       1302.20","       1290.87","    1138470","          1469620278.75","      33364"
"ACC","EQ","24-Jun-2020","       1302.20","       1304.00","       1319.70","       1255.00","       1268.00","       1265.65","       1288.53","    1403063","          1807886564.95","      58708"
"ACC","EQ","25-Jun-2020","       1265.65","       1263.00","       1281.80","       1245.00","       1248.00","       1251.10","       1263.99","     733630","           927303422.20","      33477"
"ACC","EQ","26-Jun-2020","       1251.10","       1256.00","       1295.00","       1252.45","       1289.00","       1288.60","       1274.35","     999776","          1274061731.20","      33638"
"ACC","EQ","29-Jun-2020","       1288.60","       1279.95","       1293.85","       1265.50","       1285.00","       1289.20","       1281.21","     825890","          1058136176.95","      30370"
"ACC","EQ","30-Jun-2020","       1289.20","       1293.00","       1335.60","       1288.25","       1335.00","       1332.25","       1322.57","    2752805","          3640773429.55","      77204"
"ACC","EQ","01-Jul-2020","       1332.25","       1339.95","       1340.00","       1308.65","       1322.00","       1325.95","       1324.32","    1411969","          1869901834.20","      41001"
"ACC","EQ","02-Jul-2020","       1325.95","       1329.80","       1340.00","       1318.25","       1326.80","       1328.85","       1330.26","    1008548","          1341634763.85","      29019"
"ACC","EQ","03-Jul-2020","       1328.85","       1330.00","       1337.55","       1306.00","       1315.00","       1314.95","       1316.59","    1019896","          1342784590.15","      36666"
"ACC","EQ","06-Jul-2020","       1314.95","       1317.00","       1334.95","       1307.00","       1326.00","       1328.00","       1324.45","    1070329","          1417601686.10","      38110"
"ACC","EQ","07-Jul-2020","       1328.00","       1327.90","       1327.90","       1307.85","       1310.90","       1313.10","       1317.30","     796329","          1049003335.70","      28882"
"ACC","EQ","08-Jul-2020","       1313.10","       1313.10","       1320.70","       1290.60","       1307.00","       1312.90","       1305.98","    1102284","          1439561209.95","      37398"
"ACC","EQ","09-Jul-2020","       1312.90","       1319.00","       1333.75","       1306.30","       1325.90","       1322.90","       1322.35","    1366297","          1806724949.35","      50961"
"ACC","EQ","10-Jul-2020","       1322.90","       1321.50","       1328.00","       1306.10","       1307.90","       1310.25","       1315.10","     832336","          1094605553.25","      33527"
"ACC","EQ","13-Jul-2020","       1310.25","       1310.25","       1353.50","       1310.25","       1344.00","       1346.00","       1335.85","    1707292","          2280679055.95","      54987"
"ACC","EQ","14-Jul-2020","       1346.00","       1342.00","       1359.90","       1287.00","       1292.00","       1294.10","       1320.05","    2524366","          3332277763.10","      81963"
"ACC","EQ","15-Jul-2020","       1294.10","       1301.00","       1313.45","       1285.00","       1287.00","       1287.00","       1299.94","    1351334","          1756650895.55","      41513"
"ACC","EQ","16-Jul-2020","       1287.00","       1287.50","       1305.00","       1253.00","       1304.50","       1299.90","       1279.11","    1425257","          1823057041.25","      55660"
"ACC","EQ","17-Jul-2020","       1299.90","       1304.40","       1320.00","       1297.95","       1314.30","       1315.85","       1311.48","    1179386","          1546741953.50","      40034"
