"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","17-Dec-2019","        236.90","        237.50","        241.70","        237.50","        241.00","        241.05","        240.29","   15921196","          3825660651.65","     173736"
"ITC","EQ","18-Dec-2019","        241.05","        240.60","        247.35","        239.75","        244.95","        245.15","        244.68","   17134732","          4192517746.90","     137442"
"ITC","EQ","19-Dec-2019","        245.15","        246.05","        247.90","        243.25","        243.70","        244.35","        245.59","    9339714","          2293767139.50","      72183"
"ITC","EQ","20-Dec-2019","        244.35","        244.35","        245.10","        240.15","        241.45","        241.15","        242.03","   13958336","          3378296662.55","      90193"
"ITC","EQ","23-Dec-2019","        241.15","        242.00","        242.80","        238.65","        239.25","        238.90","        239.52","   19082124","          4570523162.95","      96737"
"ITC","EQ","24-Dec-2019","        238.90","        239.00","        240.20","        238.20","        238.75","        238.75","        239.06","    7896150","          1887674726.45","      62943"
"ITC","EQ","26-Dec-2019","        238.75","        238.90","        239.40","        236.35","        236.95","        236.80","        237.57","   14460325","          3435355996.35","     113103"
"ITC","EQ","27-Dec-2019","        236.80","        237.50","        238.45","        236.45","        237.30","        236.90","        237.33","    8712539","          2067749206.50","      67022"
"ITC","EQ","30-Dec-2019","        236.90","        238.00","        240.90","        237.50","        238.30","        238.20","        239.31","   13173134","          3152505946.25","      90371"
"ITC","EQ","31-Dec-2019","        238.20","        238.55","        238.95","        237.40","        237.80","        237.70","        238.19","    7142051","          1701200648.00","      53583"
"ITC","EQ","01-Jan-2020","        237.70","        238.60","        238.60","        237.10","        238.00","        238.10","        237.85","    4208837","          1001078168.45","      38576"
"ITC","EQ","02-Jan-2020","        238.10","        238.20","        240.95","        238.10","        240.30","        239.85","        239.71","    8402979","          2014240923.00","      84223"
"ITC","EQ","03-Jan-2020","        239.85","        241.00","        241.00","        238.00","        238.45","        238.50","        238.66","    9284478","          2215853102.35","      64049"
"ITC","EQ","06-Jan-2020","        238.50","        237.50","        238.30","        235.00","        235.30","        235.10","        236.15","    7636617","          1803374990.10","      72977"
"ITC","EQ","07-Jan-2020","        235.10","        236.05","        237.90","        234.60","        235.50","        235.35","        235.94","    8416741","          1985824895.85","      66747"
"ITC","EQ","08-Jan-2020","        235.35","        234.00","        235.80","        233.25","        234.40","        234.20","        234.46","    7043211","          1651373616.00","      66642"
"ITC","EQ","09-Jan-2020","        234.20","        235.60","        236.60","        235.05","        236.10","        235.80","        235.72","    9452653","          2228176873.85","     107069"
"ITC","EQ","10-Jan-2020","        235.80","        237.60","        238.75","        236.80","        238.10","        238.00","        237.86","    9973746","          2372397224.60","      89471"
"ITC","EQ","13-Jan-2020","        238.00","        238.50","        240.50","        238.25","        239.25","        239.25","        239.58","   12243639","          2933349672.30","      83515"
"ITC","EQ","14-Jan-2020","        239.25","        240.25","        243.80","        238.30","        243.10","        243.25","        241.86","   11843444","          2864487787.15","      89338"
"ITC","EQ","15-Jan-2020","        243.25","        242.55","        243.00","        241.10","        241.85","        242.40","        242.13","    5476729","          1326099721.25","      60662"
"ITC","EQ","16-Jan-2020","        242.40","        242.50","        243.90","        240.10","        240.45","        240.75","        241.88","    9369668","          2266360483.90","      85618"
"ITC","EQ","17-Jan-2020","        240.75","        240.75","        242.10","        239.40","        239.95","        239.95","        240.43","    7392403","          1777321066.90","      97633"
"ITC","EQ","20-Jan-2020","        239.95","        240.05","        243.25","        240.05","        242.30","        241.90","        241.96","    8020816","          1940753812.50","      70844"
"ITC","EQ","21-Jan-2020","        241.90","        241.45","        241.45","        238.00","        238.45","        238.45","        239.25","    9571070","          2289906472.60","      90383"
"ITC","EQ","22-Jan-2020","        238.45","        239.60","        239.60","        237.10","        238.30","        238.05","        238.27","    7654918","          1823901029.05","      83042"
"ITC","EQ","23-Jan-2020","        238.05","        238.10","        238.75","        236.90","        237.95","        237.90","        237.67","    6120434","          1454654742.20","      69953"
"ITC","EQ","24-Jan-2020","        237.90","        237.40","        239.10","        237.00","        238.25","        238.15","        238.21","    6801874","          1620247560.85","      66148"
"ITC","EQ","27-Jan-2020","        238.15","        237.00","        237.40","        234.30","        234.65","        234.60","        235.80","    6837613","          1612314627.90","      73157"
"ITC","EQ","28-Jan-2020","        234.60","        234.75","        235.90","        230.50","        231.00","        230.75","        232.39","   14582907","          3388953374.00","     134277"
"ITC","EQ","29-Jan-2020","        230.75","        231.50","        237.65","        231.15","        237.30","        236.65","        236.14","   20469708","          4833759395.70","     136048"
"ITC","EQ","30-Jan-2020","        236.65","        236.95","        237.00","        233.00","        233.70","        234.05","        234.92","   10394149","          2441843188.25","      75658"
"ITC","EQ","31-Jan-2020","        234.05","        235.75","        238.40","        234.05","        235.20","        235.15","        236.11","   18455880","          4357677128.90","     119578"
