"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ICICIBANK","EQ","16-Jun-2020","        331.10","        342.25","        347.90","        326.05","        342.40","        342.95","        340.09","   57511276","         19559192030.60","     394321"
"ICICIBANK","EQ","17-Jun-2020","        342.95","        338.60","        351.00","        336.10","        342.25","        341.95","        344.29","   37107569","         12775830573.00","     289654"
"ICICIBANK","EQ","18-Jun-2020","        341.95","        340.00","        354.70","        337.20","        351.40","        352.00","        345.65","   39286577","         13579324191.95","     292023"
"ICICIBANK","EQ","19-Jun-2020","        352.00","        351.00","        365.45","        349.20","        363.80","        363.80","        358.50","   51368058","         18415478184.65","     372416"
"ICICIBANK","EQ","22-Jun-2020","        363.80","        367.00","        375.25","        365.15","        367.85","        367.55","        370.66","   40135946","         14876915715.10","     309083"
"ICICIBANK","EQ","23-Jun-2020","        367.55","        369.00","        378.30","        364.20","        376.05","        376.15","        370.40","   32495431","         12036276857.05","     271367"
"ICICIBANK","EQ","24-Jun-2020","        376.15","        380.00","        380.00","        345.00","        349.35","        348.10","        361.91","   57956306","         20975015027.95","     483886"
"ICICIBANK","EQ","25-Jun-2020","        348.10","        345.90","        355.60","        338.50","        350.50","        351.00","        348.84","   69905394","         24385685691.65","     474435"
"ICICIBANK","EQ","26-Jun-2020","        351.00","        355.60","        358.50","        346.10","        351.00","        349.10","        351.33","   34596718","         12154960573.75","     284738"
"ICICIBANK","EQ","29-Jun-2020","        349.10","        345.25","        345.60","        338.50","        342.50","        343.10","        341.61","   27385252","          9355210283.05","     265578"
"ICICIBANK","EQ","30-Jun-2020","        343.10","        347.00","        354.45","        346.30","        352.00","        351.45","        351.65","   47526205","         16712652154.25","     325118"
"ICICIBANK","EQ","01-Jul-2020","        351.45","        354.25","        365.75","        351.60","        362.40","        364.05","        359.56","   36922717","         13276046897.25","     306855"
"ICICIBANK","EQ","02-Jul-2020","        364.05","        366.00","        370.90","        361.35","        363.60","        362.85","        366.80","   50964872","         18694105759.85","     305451"
"ICICIBANK","EQ","03-Jul-2020","        362.85","        364.65","        367.15","        359.80","        360.80","        361.00","        363.13","   28779331","         10450640286.00","     208640"
"ICICIBANK","EQ","06-Jul-2020","        361.00","        367.85","        367.85","        360.50","        362.40","        361.85","        362.93","   33334119","         12098052508.65","     259942"
"ICICIBANK","EQ","07-Jul-2020","        361.85","        363.00","        378.00","        362.10","        374.60","        376.05","        370.97","   46031349","         17076408916.80","     338605"
"ICICIBANK","EQ","08-Jul-2020","        376.05","        377.90","        379.00","        367.55","        368.60","        368.95","        374.60","   46317703","         17350791189.45","     334871"
"ICICIBANK","EQ","09-Jul-2020","        368.95","        373.45","        376.00","        365.30","        371.75","        370.35","        370.37","   35144717","         13016722138.10","     252469"
"ICICIBANK","EQ","10-Jul-2020","        370.35","        364.90","        368.20","        359.00","        359.90","        360.35","        363.19","   27865749","         10120560057.65","     280327"
"ICICIBANK","EQ","13-Jul-2020","        360.35","        364.10","        367.00","        352.50","        354.15","        353.60","        357.86","   32379950","         11587642125.05","     230035"
"ICICIBANK","EQ","14-Jul-2020","        353.60","        351.50","        352.45","        340.60","        346.05","        345.55","        346.56","   34033233","         11794606533.70","     297220"
"ICICIBANK","EQ","15-Jul-2020","        345.55","        349.50","        356.80","        343.75","        347.90","        345.80","        351.27","   30442572","         10693660344.80","     222113"
"ICICIBANK","EQ","16-Jul-2020","        345.80","        347.95","        348.60","        341.00","        344.85","        344.65","        344.69","   35536953","         12249319563.85","     220076"
"ICICIBANK","EQ","17-Jul-2020","        344.65","        346.00","        356.00","        345.45","        354.60","        353.80","        349.78","   27511987","          9623202594.30","     200767"
"ICICIBANK","EQ","20-Jul-2020","        353.80","        358.00","        366.35","        355.25","        362.10","        363.00","        362.86","   36313319","         13176547255.65","     267593"
